#ver@1.12
TASE	KONTO NR	VALUUTA	KONTO NIMETUS	KLASS	TÜÜP	Bilansirida	Bilansigrupp	Kasumiaruande rida	Kasumiaruande grupp
1	1	EUR	VARAD	Üld	Aktiva	1	VARAD KOKKU		
2	10	EUR	KÄIBEVARA	Üld	Aktiva	1.1	KÄIBEVARAD KOKKU		
3	101	EUR	RAHA	Üld	Aktiva	1.1.1	RAHA KOKKU		
4	1011	EUR	Sularaha	Koond	Aktiva	1.1.1.1	Raha		
5	10110	EUR	Kassa	Detailne	Aktiva	1.1.1.1.1	Raha		
5	10111	USD	Kassa USD	Detailne	Aktiva	1.1.1.1.2	Raha		
5	10112	LTL	Kassa LTL	Detailne	Aktiva	1.1.1.1.3	Raha		
5	10113	LVL	Kassa LVL	Detailne	Aktiva	1.1.1.1.4	Raha		
5	10117	EUR	Kaupluse kassa	Detailne	Aktiva	1.1.1.1.5	Raha		
4	1012	EUR	Arvelduskontod	Koond	Aktiva	1.1.1.2	Raha		
5	10120	EUR	a/a Swedbank EUR	Detailne	Aktiva	1.1.1.2.1	Raha		
5	10121	USD	a/a Swedbank USD	Detailne	Aktiva	1.1.1.2.2	Raha		
5	10122	USD	a/a SEB EUR	Detailne	Aktiva	1.1.1.2.3	Raha		
5	10123	EUR	a/a SEB USD	Detailne	Aktiva	1.1.1.2.4	Raha		
5	10124	EUR	a/a Nordea EUR	Detailne	Aktiva	1.1.1.2.5	Raha		
5	10125	EUR	a/a Nordea USD	Detailne	Aktiva	1.1.1.2.6	Raha		
4	1013	EUR	Tähtajalised hoiused	Koond	Aktiva	1.1.1.3	Raha		
5	10130	EUR	..... Tähtajaline hoius	Detailne	Aktiva	1.1.1.3.1	Raha		
4	1014	EUR	Paigutused ülilikviidsetesse fondidesse	Koond	Aktiva	1.1.1.4	Raha		
5	10140	EUR	..... Rahaturufond	Detailne	Aktiva	1.1.1.4.1	Raha		
4	1015	EUR	Rahad teel	Koond	Aktiva	1.1.1.5	Raha		
5	10150	EUR	Rahad teel	Detailne	Aktiva	1.1.1.5.1	Raha		
3	102	EUR	FINANTSINVESTEERINGUD	Üld	Aktiva	1.1.2	FINANTSINVESTEERINGUD KOKKU		
4	1020	EUR	Kauplemiseesmärgil hoitavad väärtpaberid	Koond	Aktiva	1.1.2.1	Finantsinvesteeringud		
5	10200	EUR	.... Väärtpaber	Detailne	Aktiva	1.1.2.1.1	Finantsinvesteeringud		
4	1029	EUR	Lühiajaliste finantsinvesteeringute allahindlus	Koond	Aktiva	1.1.2.2	Finantsinvesteeringud		
5	10290	EUR	.... Allahindlus	Detailne	Aktiva	1.1.2.2.1	Finantsinvesteeringud		
3	103	EUR	NÕUDED JA ETTEMAKSED	Üld	Aktiva	1.1.3	NÕUDED JA ETTEMAKSED KOKKU		
4	1031	EUR	Nõuded ostjate vastu	Koond	Aktiva	1.1.3.1	Nõuded ja ettemaksed		
5	10310	EUR	Arveldused ostjatega	Detailne	Aktiva	1.1.3.1.1	Nõuded ja ettemaksed		
6	103100	EUR	Arveldused ostjatega EUR	Detailne	Aktiva	1.1.3.1.1.1	Nõuded ja ettemaksed		
6	103101	EUR	Arveldused ostjatega EUR	Detailne	Aktiva	1.1.3.1.1.2	Nõuded ja ettemaksed		
6	103112	USD	Arveldused ostjatega USD	Detailne	Aktiva	1.1.3.1.1.3	Nõuded ja ettemaksed		
6	103114	EUR	Kassasüsteemi arveldused	Detailne	Aktiva	1.1.3.1.1.4	Nõuded ja ettemaksed		
5	10312	EUR	Ebatõenäoliselt laekuvad arved (-)	Detailne	Aktiva	1.1.3.1.2	Nõuded ja ettemaksed		
6	103120	EUR	Ebatõenäoliselt laekuvad arved EUR(-)	Detailne	Aktiva	1.1.3.1.2.1	Nõuded ja ettemaksed		
6	103121	EUR	Ebatõenäoliselt laekuvad arved EUR (-)	Detailne	Aktiva	1.1.3.1.2.2	Nõuded ja ettemaksed		
4	1032	EUR	Maksude ettemaksed ja tagasinõuded	Koond	Aktiva	1.1.3.2	Nõuded ja ettemaksed		
5	10320	EUR	Ettemaksukonto (Maksu- ja Tolliamet)	Detailne	Aktiva	1.1.3.2.1	Nõuded ja ettemaksed		
5	10321	EUR	Käibemaksu ettemaks tollile	Detailne	Aktiva	1.1.3.2.2	Nõuded ja ettemaksed		
4	1033	EUR	Lühiajalised laenunõuded	Koond	Aktiva	1.1.3.3	Nõuded ja ettemaksed		
5	10330	EUR	Antud lühiajalist laenu	Detailne	Aktiva	1.1.3.3.1	Nõuded ja ettemaksed		
4	1034	EUR	Muud lühiajalised nõuded	Koond	Aktiva	1.1.3.4	Nõuded ja ettemaksed		
5	10340	EUR	Nõuded emaettevõtjate ja teiste konsolideerimisgrupi ettevõtjate vastu	Detailne	Aktiva	1.1.3.4.1	Nõuded ja ettemaksed		
5	10341	EUR	Nõuded sidusettevõtjate vastu	Detailne	Aktiva	1.1.3.4.2	Nõuded ja ettemaksed		
5	10342	EUR	Nõuded omanike vastu	Detailne	Aktiva	1.1.3.4.3	Nõuded ja ettemaksed		
5	10343	EUR	Mitmesugused lühiajalised nõuded	Detailne	Aktiva	1.1.3.4.4	Nõuded ja ettemaksed		
6	103430	EUR	Arveldused aruandvate isikutega	Detailne	Aktiva	1.1.3.4.4.1	Nõuded ja ettemaksed		
6	103431	EUR	Kassa puudujääk	Detailne	Aktiva	1.1.3.4.4.2	Nõuded ja ettemaksed		
6	103432	EUR	Kaardimakse	Detailne	Aktiva	1.1.3.4.4.3	Nõuded ja ettemaksed		
6	103433	EUR	Ettemakstud palk (avanss)	Detailne	Aktiva	1.1.3.4.4.4	Nõuded ja ettemaksed		
5	10344	EUR	Viitlaekumised	Detailne	Aktiva	1.1.3.4.5	Nõuded ja ettemaksed		
5	10345	EUR	Laekumata intressid	Detailne	Aktiva	1.1.3.4.6	Nõuded ja ettemaksed		
5	10346	EUR	Laekumata dividendid	Detailne	Aktiva	1.1.3.4.7	Nõuded ja ettemaksed		
5	10347	EUR	Muud viitlaekumised	Detailne	Aktiva	1.1.3.4.8	Nõuded ja ettemaksed		
4	1035	EUR	Ettemakstud tulevaste perioodide kulud	Koond	Aktiva	1.1.3.5	Nõuded ja ettemaksed		
5	10350	EUR	Ettemakstud tuleva aasta rent	Detailne	Aktiva	1.1.3.5.1	Nõuded ja ettemaksed		
5	10351	EUR	Ettemakstud tuleva aasta kindl.maksed	Detailne	Aktiva	1.1.3.5.2	Nõuded ja ettemaksed		
5	10352	EUR	Muud ettemakstud kulud	Detailne	Aktiva	1.1.3.5.3	Nõuded ja ettemaksed		
3	104	EUR	VARUD	Üld	Aktiva	1.1.4	VARUD KOKKU		
4	1041	EUR	Tooraine ja materjal	Koond	Aktiva	1.1.4.1	Varud		
5	10410	EUR	Tooraine ja materjal	Detailne	Aktiva	1.1.4.1.1	Varud		
5	10411	EUR	Kaubad konsignatsioonis	Detailne	Aktiva	1.1.4.1.2	Varud		
4	1042	EUR	Lõpetamata ja valmistoodang	Koond	Aktiva	1.1.4.2	Varud		
5	10420	EUR	Lõpetamata toodang	Detailne	Aktiva	1.1.4.2.1	Varud		
5	10421	EUR	Valmistoodang	Detailne	Aktiva	1.1.4.2.2	Varud		
4	1043	EUR	Müügiks ostetud kaubad	Koond	Aktiva	1.1.4.3	Varud		
5	10430	EUR	Hulgimüügi kaup	Detailne	Aktiva	1.1.4.3.1	Varud		
5	10431	EUR	Jaemüügi kaup müügihinnas	Detailne	Aktiva	1.1.4.3.2	Varud		
5	10432	EUR	Taara müügis	Detailne	Aktiva	1.1.4.3.3	Varud		
5	10433	EUR	Jaemüügi hinnalisand	Detailne	Aktiva	1.1.4.3.4	Varud		
4	1044	EUR	Ettemaksed tarnijatele	Koond	Aktiva	1.1.4.4	Varud		
5	10440	EUR	Ettemaksed varude eest	Detailne	Aktiva	1.1.4.4.1	Varud		
3	105	EUR	BIOLOOGILISED VARAD	Üld	Aktiva	1.1.5	BIOLOOGILISED VARAD KOKKU		
4	1051	EUR	Edasimüügi eesmärgil soetatud bioloogilised varad	Koond	Aktiva	1.1.5.1	Bioloogilised varad		
5	10510	EUR	Loomsed varad	Detailne	Aktiva	1.1.5.1.1	Bioloogilised varad		
5	10511	EUR	Istandikud	Detailne	Aktiva	1.1.5.1.2	Bioloogilised varad		
5	10512	EUR	Mets	Detailne	Aktiva	1.1.5.1.3	Bioloogilised varad		
5	10513	EUR	Vili	Detailne	Aktiva	1.1.5.1.4	Bioloogilised varad		
5	10514	EUR	Rohumaa	Detailne	Aktiva	1.1.5.1.5	Bioloogilised varad		
3	106	EUR	MÜÜGIOOTEL PÕHIVARA	Üld	Aktiva	1.1.6	MÜÜGIOOTEL PÕHIVARA KOKKU		
4	1061	EUR	Materiaalse ja immateriaalse põhivara objektid, mis müüakse lähima 12 kuu jooksul	Koond	Aktiva	1.1.6.1	Müügiootel põhivara		
5	10610	EUR	Materiaalne põhivara müügiks	Detailne	Aktiva	1.1.6.1.1	Müügiootel põhivara		
5	10611	EUR	Immateriaalne põhivara müügiks	Detailne	Aktiva	1.1.6.1.2	Müügiootel põhivara		
2	11	EUR	PÕHIVARA	Üld	Aktiva	1.2	PÕHIVARAD KOKKU		
3	110	EUR	FINANTSINVESTEERINGUD	Üld	Aktiva	1.2.1	FINANTSINVESTEERINGUD KOKKU		
4	1101	EUR	Mitte kauplemiseesmärgil hoitavad väärtpaberid	Koond	Aktiva	1.2.1.1	Finantsinvesteeringud		
5	11010	EUR	Tütarettevõtjate aktsiad või osad	Detailne	Aktiva	1.2.1.1.1	Finantsinvesteeringud		
5	11011	EUR	Sidusettevõtjate aktsiad või osad	Detailne	Aktiva	1.2.1.1.2	Finantsinvesteeringud		
4	1102	EUR	Muud pikaajalised finantsinvesteeringud	Koond	Aktiva	1.2.1.2	Finantsinvesteeringud		
5	11020	EUR	Aktsiad ja osad	Detailne	Aktiva	1.2.1.2.1	Finantsinvesteeringud		
5	11021	EUR	Fondiosakud	Detailne	Aktiva	1.2.1.2.2	Finantsinvesteeringud		
5	11022	EUR	Võlakirjad	Detailne	Aktiva	1.2.1.2.3	Finantsinvesteeringud		
3	111	EUR	NÕUDED JA ETTEMAKSED	Üld	Aktiva	1.2.2	NÕUDED JA ETTEMAKSED KOKKU		
