TASE	KONTO NR	VALUUTA	KONTO NIMETUS	TÜÜP	LIIK
1	1	EEK	VARAD	Üld	Aktiva
2	10	EEK	KÄIBEVARA	Üld	Aktiva
3	101	EEK	RAHA	Üld	Aktiva
4	1011	EEK	Sularaha	Koond	Aktiva
5	10110	EEK	Kassa	Detailne	Aktiva
5	10111	EUR	Kassa EUR	Detailne	Aktiva
5	10112	LTL	Kassa LTL	Detailne	Aktiva
5	10113	LVL	Kassa LVL	Detailne	Aktiva
5	10114	USD	Kassa USD	Detailne	Aktiva
5	10115	PLN	Kassa PLN	Detailne	Aktiva
5	10116	SLK	Kassa SLK	Detailne	Aktiva
5	10117	EEK	Kaupluse kassa	Detailne	Aktiva
4	1012	EEK	Arvelduskontod	Koond	Aktiva
5	10120	EEK	Arveldusarve Swedbank EEK	Detailne	Aktiva
5	10121	EUR	Arveldusarve Swedbank EUR	Detailne	Aktiva
5	10122	USD	Arveldusarve Swedbank USD	Detailne	Aktiva
5	10123	EEK	Arveldusarve Nordea pank EEK	Detailne	Aktiva
5	10124	EUR	Arveldusarve Nordea pank EUR	Detailne	Aktiva
5	10125	EEK	Arveldusarve SEB EEK	Detailne	Aktiva
4	1013	EEK	Tähtajalised hoiused	Koond	Aktiva
5	10130	EEK	..... Tähtajaline hoius	Detailne	Aktiva
4	1014	EEK	Paigutused ülilikviidsetesse fondidesse	Koond	Aktiva
5	10140	EEK	..... Rahaturufond	Detailne	Aktiva
4	1015	EEK	Rahad teel	Koond	Aktiva
5	10150	EEK	Rahad teel	Detailne	Aktiva
3	102	EEK	FINANTSINVESTEERINGUD	Üld	Aktiva
4	1020	EEK	Kauplemiseesmärgil hoitavad väärtpaberid	Koond	Aktiva
5	10200	EEK	.... Väärtpaber	Detailne	Aktiva
4	1029	EEK	Lühiajaliste finantsinvesteeringute allahindlus	Koond	Aktiva
5	10290	EEK	.... Allahindlus	Detailne	Aktiva
3	103	EEK	NÕUDED JA ETTEMAKSED	Üld	Aktiva
4	1031	EEK	Nõuded ostjate vastu	Koond	Aktiva
5	10310	EEK	Arveldused ostjatega	Detailne	Aktiva
6	103100	EEK	Arveldused ostjatega EEK	Detailne	Aktiva
6	103101	EUR	Arveldused ostjatega EUR	Detailne	Aktiva
6	103112	USD	Arveldused ostjatega USD	Detailne	Aktiva
6	103114	EUR	Kassasüsteemi arveldused	Detailne	Aktiva
5	10312	EEK	Ebatõenäoliselt laekuvad arved (-)	Detailne	Aktiva
6	103120	EEK	Ebatõenäoliselt laekuvad arved EEK(-)	Detailne	Aktiva
6	103121	EUR	Ebatõenäoliselt laekuvad arved EUR (-)	Detailne	Aktiva
4	1032	EEK	Maksude ettemaksed ja tagasinõuded	Koond	Aktiva
5	10320	EEK	Ettemaksukonto (Maksu- ja Tolliamet)	Detailne	Aktiva
5	10321	EEK	Käibemaksu ettemaks tollile	Detailne	Aktiva
4	1033	EEK	Lühiajalised laenunõuded	Koond	Aktiva
5	10330	EEK	Antud lühiajalist laenu	Detailne	Aktiva
4	1034	EEK	Muud lühiajalised nõuded	Koond	Aktiva
5	10340	EEK	Nõuded emaettevõtjate ja teiste konsolideerimisgrupi ettevõtjate vastu	Detailne	Aktiva
5	10341	EEK	Nõuded sidusettevõtjate vastu	Detailne	Aktiva
5	10342	EEK	Nõuded omanike vastu	Detailne	Aktiva
5	10343	EEK	Mitmesugused lühiajalised nõuded	Detailne	Aktiva
6	103430	EEK	Arveldused aruandvate isikutega	Detailne	Aktiva
6	103431	EEK	Kassa puudujääk	Detailne	Aktiva
6	103432	EEK	Kaardimakse	Detailne	Aktiva
6	103433	EEK	Ettemakstud palk (avanss)	Detailne	Aktiva
5	10344	EEK	Viitlaekumised	Detailne	Aktiva
5	10345	EEK	Laekumata intressid	Detailne	Aktiva
5	10346	EEK	Laekumata dividendid	Detailne	Aktiva
5	10347	EEK	Muud viitlaekumised	Detailne	Aktiva
4	1035	EEK	Ettemakstud tulevaste perioodide kulud	Koond	Aktiva
